x,y,z,cluster
-6.3453,-5.44658,2.28171,2
-6.08477,-5.21116,1.86281,2
-6.44066,-4.34148,2.3741,2
-6.05567,-4.4246,2.20392,2
-6.05697,-5.15522,1.84945,2
-5.98634,-5.07496,0.930542,2
-6.49209,-4.34724,2.38813,2
-6.08086,-4.41445,2.20815,2
-5.98649,-5.06364,1.82317,2
-6.06671,-5.10612,0.648443,2
-6.0972,-5.12633,0.360056,2
-6.53088,-4.34425,2.39749,2
-6.09282,-4.39465,2.20759,2
-6.09147,-5.12046,1.85035,2
-6.0699,-5.08212,0.938666,2
-6.52024,-4.30837,2.38872,2
-6.11486,-4.38209,2.21069,2
-6.1337,-4.7565,2.1977,2
-6.11134,-5.11686,2.17483,2
-6.06603,-5.06741,1.8379,2
-6.21937,-5.18831,1.56951,2
-6.0389,-5.02473,0.931484,2
-6.07953,-5.05351,0.646487,2
-6.12392,-5.08499,0.359785,2
-6.52623,-4.28363,2.38609,2
-6.13296,-4.36664,2.21238,2
-6.22219,-4.79463,2.22413,2
-6.08326,-5.06168,2.1593,2
-6.19471,-5.14272,1.87209,2
-6.1045,-5.06081,1.5366,2
-6.11475,-5.05617,0.940786,2
-6.15651,-4.35501,2.21605,2
-6.18569,-4.73632,2.20588,2
-6.15229,-5.08725,2.17826,2
-6.11054,-5.04125,1.84197,2
-6.17377,-4.33886,2.21745,2
-6.20861,-4.72373,2.20887,2
-6.11844,-5.0163,1.83971,2
-6.21694,-4.34077,2.22817,2
-6.20005,-4.68726,2.2007,2
-6.2389,-4.32769,2.23127,2
-6.20363,-4.66012,2.19689,2
-6.2719,-4.32214,2.23832,2
-6.19554,-4.62438,2.18899,2
-6.30492,-4.31643,2.24537,2
-6.19038,-4.59102,2.18218,2
-6.33718,-4.31002,2.25213,2
-6.19669,-4.5663,2.17945,2
-6.3289,-4.27605,2.24452,2
-6.20911,-4.54613,2.17891,2
-6.21759,-4.52309,2.177,2
-6.22753,-4.50118,2.17564,2
-6.2273,-4.86616,2.15641,2
-6.23115,-4.47476,2.1721,2
-6.24094,-4.45282,2.17073,2
-6.25221,-4.43199,2.16992,2
-6.26735,-4.41389,2.17046,2
-6.28481,-4.3974,2.17182,2
-6.31328,-4.38853,2.177,2
-6.33147,-4.37243,2.17863,2
-6.32184,-4.33719,2.17073,2
-6.25624,-4.46978,2.09797,2
-9.21536,-7.48285,0.441299,3
-9.17995,-7.40747,0.438513,3
-9.19172,-7.37052,0.437993,3
-9.29244,-7.40456,0.441708,3
-9.19446,-7.28049,0.435987,3
-9.22696,-7.26028,0.43647,3
-9.22243,-7.21101,0.435207,3
-9.2382,-7.17777,0.434909,3
-9.14847,-7.10269,0.00788362,3
-9.25622,-7.14634,0.434724,3
-9.14726,-7.05687,0.00786388,3
-9.27493,-7.11548,0.434575,3
-9.22598,-7.03307,0.431269,3
-9.1522,-6.97153,0.0078312,3
-9.18937,-6.96069,0.428557,3
-9.20145,-6.96454,0.00785503,3
-9.24326,-6.96154,0.85362,3
-9.20988,-6.93186,0.42852,3
-9.17323,-6.89901,0.00781283,3
-9.30266,-6.96722,2.60581,3
-9.38535,-7.02915,2.17621,3
-9.32242,-6.98278,1.72059,3
-9.29645,-6.96333,1.28479,3
-9.28214,-6.94629,0.855239,3
-9.2255,-6.89938,0.42826,3
-9.29875,-6.91558,3.05747,3
-9.34043,-6.95088,2.6104,3
-9.28697,-6.9111,2.14847,3
-9.14302,-6.80471,1.68362,3
-9.22738,-6.85674,0.427368,3
-9.14473,-6.79013,0.00775293,3
-9.13043,-6.77358,-0.408922,3
-9.23149,-6.81594,0.426588,3
-9.13092,-6.73652,0.00772366,3
-9.24671,-6.78345,0.426328,3
-9.12654,-6.69014,0.00770256,3
-9.16134,-6.70975,-0.408455,3
-9.62452,-7.01992,0.878781,3
-9.26587,-6.75387,0.426253,3
-9.20853,-7.23787,0.323069,3
-9.13409,-6.65269,0.00769167,3
-9.13097,-6.64457,-0.40619,3
-9.7047,-7.03935,1.77101,3
-9.7248,-7.05393,1.32887,3
-9.73323,-7.05357,0.886726,3
-9.27036,-6.71369,0.42551,3
-9.16057,-7.15482,0.320615,3
-9.07912,-6.57012,0.00762836,3
-9.10597,-6.58374,-0.404177,3
-9.95505,-7.17365,2.2773,3
-9.2317,-6.64261,0.422799,3
-9.14221,-7.09543,0.319209,3
-9.14389,-6.57434,0.0076658,3
-9.17725,-6.5925,-0.406442,3
-9.70284,-7.50323,2.15259,3
-9.66165,-6.91805,1.75537,3
-9.74689,-6.97908,1.32602,3
-9.69197,-6.93336,0.879075,3
-9.23577,-6.60263,0.422056,3
-9.22013,-7.11069,0.321167,3
-9.20551,-6.5759,0.00770051,3
-9.2311,-7.11606,-0.104564,3
-9.11609,-6.50626,-0.402847,3
-9.76093,-6.94317,2.2231,3
-9.81422,-6.98185,1.77919,3
-9.61113,-6.83737,1.30469,3
-9.68068,-6.88049,0.876132,3
-9.24702,-6.5679,0.421647,3
-9.19033,-7.04284,0.319375,3
-9.11392,-6.46833,0.00760726,3
-9.23701,-7.07554,-0.104385,3
-9.10014,-6.45283,-0.401266,3
-9.64048,-6.81305,2.64672,3
-9.77014,-6.90468,2.22037,3
-9.82463,-7.50153,2.16936,3
-9.69664,-6.8535,1.75406,3
-9.68537,-7.39012,1.67945,3
-9.8366,-6.95242,1.33239,3
-9.86186,-7.51771,0.795819,3
-9.22957,-6.51299,0.419938,3
-9.17849,-6.98918,0.318217,3
-9.1517,-6.45302,0.00762224,3
-9.15523,-6.96844,-0.103219,3
-9.15258,-6.4479,-0.402703,3
-9.73479,-7.39139,3.09241,3
-9.84901,-6.9152,2.69813,3
-9.78404,-6.86958,2.21872,3
-9.85858,-7.47969,2.17178,3
-9.74434,-6.84248,1.75888,3
-9.80827,-6.88737,1.32569,3
-9.69741,-6.8032,0.873852,3
-9.70748,-7.35304,0.781537,3
-9.24296,-6.48006,0.419641,3
-9.14569,-6.91997,0.316342,3
-9.15671,-6.41459,0.00760998,3
-9.17657,-6.94032,-0.103219,3
-9.13629,-6.39457,-0.401122,3
-9.64294,-6.7222,3.10135,3
-9.72372,-6.78279,2.6581,3
-9.76115,-7.35869,2.14533,3
-9.85535,-6.87538,1.7751,3
-9.52719,-7.17736,1.64435,3
-9.69566,-6.76398,1.30766,3
-9.29062,-6.99457,1.17039,3
-9.79269,-6.82531,0.880546,3
