x,y,z,cluster
-5.40311,-3.67618,-0.359307,1
-6.69481,-3.86196,0.854913,1
-7.83762,-4.90755,0.930664,1
-6.42875,-3.70475,0.547353,1
-6.31966,-3.95585,0.478477,1
-5.82809,-3.9499,0.384996,1
-5.44865,-3.98618,0.305149,1
-6.34162,-3.65188,0.272046,1
-5.81445,-3.63537,0.189149,1
-5.43514,-3.68027,0.118585,1
-5.24538,-3.83663,0.0563735,1
-6.31353,-3.63262,0.00495806,1
-5.81041,-3.63115,-0.0614684,1
-5.41666,-3.66472,-0.119407,1
-5.2031,-3.80083,-0.179758,1
-6.37249,-3.66299,-0.264383,1
-5.83007,-3.63976,-0.311258,1
-5.44001,-3.67692,-0.361009,1
-6.71784,-3.84783,0.856342,1
-7.85771,-4.88663,0.931264,1
-6.31567,-3.92643,0.477261,1
-5.85509,-3.94204,0.385979,1
-5.45924,-3.96827,0.305059,1
-6.37014,-3.64232,0.272789,1
-5.88927,-3.65707,0.191217,1
-5.47628,-3.68366,0.119235,1
-5.26765,-3.82817,0.0564862,1
-6.34809,-3.62663,0.00497644,1
-5.96766,-3.70401,-0.0630114,1
-5.47684,-3.68099,-0.120484,1
-5.21393,-3.78426,-0.17973,1
-6.42709,-3.66819,-0.26618,1
-6.03054,-3.73925,-0.321346,1
-5.44712,-3.65743,-0.360734,1
-6.7564,-3.84243,0.85975,1
-8.09106,-4.9974,0.9571,1
-6.41148,-3.64257,0.543969,1
-5.86799,-3.92461,0.386034,1
-6.39345,-3.62967,0.273309,1
-5.94471,-3.66627,0.192651,1
-5.28018,-3.81257,0.0564949,1
-6.39833,-3.62934,0.00500707,1
-6.11689,-3.77069,-0.0644647,1
-6.45049,-3.65536,-0.266684,1
-6.03517,-3.71654,-0.320984,1
-6.79845,-3.83879,0.863598,1
-8.07328,-4.95226,0.953194,1
-6.40351,-3.6121,0.54235,1
-6.31922,-3.87509,0.475724,1
-5.88083,-3.90715,0.386088,1
-5.48429,-3.93528,0.305104,1
-6.44721,-3.63408,0.275129,1
-5.98576,-3.66629,0.193616,1
-5.53376,-3.67322,0.119994,1
-5.25935,-3.77304,0.056148,1
-6.42163,-3.61656,0.0050166,1
-6.12331,-3.74877,-0.0644109,1
-5.52182,-3.66224,-0.120977,1
-5.21755,-3.73823,-0.179061,1
-6.51219,-3.66397,-0.268769,1
-6.04229,-3.6954,-0.320758,1
-5.4628,-3.61953,-0.360295,1
-6.8362,-3.8325,0.866896,1
-8.10118,-4.93524,0.954696,1
-6.39977,-3.58415,0.541099,1
-6.38052,-3.88579,0.479438,1
-5.90696,-3.89844,0.387016,1
-5.50936,-3.92772,0.305826,1
-6.4688,-3.62014,0.275575,1
-6.02687,-3.66609,0.194581,1
-5.53916,-3.65237,0.119867,1
-5.288,-3.76907,0.0563301,1
-6.43881,-3.60026,0.00502136,1
-6.12026,-3.72114,-0.0642584,1
-5.54555,-3.65353,-0.121251,1
-5.28519,-3.7622,-0.180985,1
-6.58971,-3.68101,-0.2715,1
-6.04079,-3.66907,-0.32008,1
-5.47972,-3.60659,-0.360679,1
-6.87485,-3.82649,0.870305,1
-6.41248,-3.56547,0.541247,1
-6.26518,-3.78924,0.469895,1
-5.92056,-3.88139,0.387126,1
-5.4904,-3.88886,0.304111,1
-6.52704,-3.62649,0.277581,1
-6.03638,-3.64655,0.194525,1
-5.59133,-3.6622,0.120752,1
-5.30117,-3.75399,0.0563475,1
-6.49441,-3.60524,0.00505608,1
-6.10768,-3.68787,-0.0640072,1
-5.55674,-3.6365,-0.121251,1
-5.32445,-3.76559,-0.181933,1
-6.62282,-3.6729,-0.272399,1
-6.10591,-3.68302,-0.32293,1
-5.50162,-3.59687,-0.361393,1
-6.91962,-3.82365,0.874482,1
-8.18504,-4.91772,0.961005,1
-6.44347,-3.55687,0.542939,1
-6.26479,-3.76281,0.468999,1
-5.92491,-3.8583,0.386634,1
-5.53172,-3.89269,0.305736,1
-6.57577,-3.6272,0.279179,1
-6.0784,-3.64652,0.195518,1
-5.62768,-3.66139,0.121294,1
-5.31757,-3.74116,0.0563995,1
-6.56324,-3.61716,0.005101,1
-6.10953,-3.66346,-0.0639085,1
-5.59553,-3.63742,-0.121853,1
-5.3507,-3.75959,-0.182435,1
-6.64981,-3.66124,-0.273046,1
-6.17374,-3.69815,-0.325916,1
-5.49337,-3.56746,-0.36013,1
-6.98622,-3.83252,0.881409,1
-8.23598,-4.914,0.965211,1
-6.44298,-3.53085,0.541982,1
-6.27888,-3.7451,0.469191,1
-5.96187,-3.85638,0.388272,1
-5.55919,-3.88658,0.306594,1
-6.63858,-3.63533,0.28137,1
-6.10587,-3.63758,0.196042,1
-5.654,-3.65387,0.121619,1
-5.34377,-3.73514,0.0565556,1
-6.59273,-3.60708,0.0051153,1
-6.11215,-3.63958,-0.0638188,1
-5.61506,-3.62566,-0.122036,1
-5.36467,-3.74487,-0.182519,1
-6.67329,-3.64753,-0.273549,1
-6.21854,-3.69911,-0.32768,1
-5.65952,-3.65072,-0.370286,1
-5.30774,-3.70251,-0.417701,1
-6.96914,-3.79538,0.877781,1
-8.23133,-4.87704,0.962907,1
-7.3859,-5.13575,0.735652,1
-6.46255,-3.51583,0.542718,1
-6.28433,-3.72226,0.468743,1
-5.96527,-3.83267,0.387726,1
-5.55468,-3.85811,0.305691,1
-6.6655,-3.62354,0.282039,1
-6.16518,-3.64733,0.197586,1
-5.67612,-3.64353,0.121854,1
-5.38724,-3.74097,0.0568939,1
-6.61871,-3.59496,0.00512687,1
-6.11726,-3.61725,-0.063756,1
-5.64047,-3.61759,-0.122346,1
-5.36381,-3.71985,-0.1821,1
-6.73803,-3.65611,-0.275742,1
-6.21352,-3.67036,-0.326821,1
-5.69928,-3.65166,-0.372153,1
-5.34368,-3.70327,-0.419634,1
-7.03146,-3.8014,0.884157,1
-7.40326,-5.1142,0.735815,1
-6.51367,-3.51779,0.546102,1
-6.33185,-3.72421,0.471433,1
-5.97027,-3.81005,0.387289,1
-5.54429,-3.82573,0.304472,1
-6.67571,-3.60259,0.282002,1
-6.20565,-3.64562,0.198523,1
-5.7016,-3.63524,0.122161,1
-5.41433,-3.73522,0.0570587,1
-6.70892,-3.61735,0.00518813,1
-6.12143,-3.59442,-0.0636842,1
-5.68443,-3.62122,-0.123058,1
-5.36203,-3.6943,-0.181654,1
-6.78353,-3.6539,-0.277144,1
-6.20493,-3.63966,-0.32578,1
-5.70287,-3.62933,-0.371659,1
-5.39201,-3.71232,-0.422532,1
-7.06849,-3.79344,0.887346,1
-6.52486,-3.81207,0.760533,1
-6.49982,-3.4846,0.544042,1
-6.34583,-3.70628,0.471625,1
-6.02747,-3.82059,0.390238,1
-5.58319,-3.82734,0.305962,1
-6.76425,-3.62362,0.285271,1
-6.26343,-3.65376,0.200012,1
-5.71611,-3.61987,0.122234,1
-5.43072,-3.72198,0.0571108,1
-6.73498,-3.60477,0.0051997,1
-6.17649,-3.60131,-0.0641417,1
-5.71156,-3.61392,-0.123405,1
-5.39561,-3.69308,-0.182407,1
-6.85816,-3.667,-0.279732,1
-6.20571,-3.61457,-0.325237,1
-5.74099,-3.62889,-0.373415,1
-5.40667,-3.69801,-0.42279,1
-7.16431,-3.81659,0.8979,1
-6.6355,-3.84945,0.772048,1
-6.34422,-3.67929,0.470664,1
-6.07466,-3.82442,0.392531,1
-5.57179,-3.79445,0.304698,1
-6.79121,-3.6113,0.28594,1
-6.29364,-3.64555,0.200619,1
-5.7822,-3.63692,0.123408,1
-5.44294,-3.70586,0.0571195,1
-6.78663,-3.60567,0.00523101,1
-6.27318,-3.63194,-0.0650298,1
-5.77426,-3.62883,-0.124518,1
-5.42758,-3.69056,-0.183104,1
-6.90292,-3.66375,-0.281098,1
-6.31449,-3.65203,-0.330349,1
-5.79607,-3.63887,-0.37627,1
-5.41056,-3.67636,-0.42221,1
-7.1997,-3.80714,0.900869,1
-6.64986,-3.83056,0.772349,1
-8.04516,-5.0345,0.866048,1
-6.35288,-3.65831,0.470472,1
-6.04572,-3.78036,0.38991,1
-5.61485,-3.79861,0.306413,1
-6.81463,-3.59698,0.28646,1
-6.31346,-3.63121,0.200895,1
-5.80605,-3.62711,0.123679,1
-5.45594,-3.69027,0.0571368,1
-6.82508,-3.59929,0.00525211,1
-6.3285,-3.6381,-0.0654874,1
-5.84729,-3.64975,-0.125851,1
-5.47367,-3.69739,-0.184276,1
-6.94507,-3.65886,-0.282356,1
-6.34992,-3.64657,-0.331616,1
-5.88346,-3.66862,-0.381211,1
-5.42595,-3.66254,-0.422532,1
-7.19463,-3.77626,0.89878,1
-6.68749,-3.82496,0.775353,1
-7.90748,-4.91465,0.849599,1
-7.32477,-3.84049,0.610107,1
-6.36235,-3.63781,0.470344,1
-6.05729,-3.76179,0.38991,1
-5.64057,-3.79084,0.307181,1
-6.83183,-3.5793,0.28672,1
-6.33672,-3.61876,0.201281,1
-5.85283,-3.63142,0.124437,1
-5.47553,-3.67909,0.0572235,1
-6.87596,-3.59921,0.00528274,1
-6.34398,-3.62114,-0.0655322,1
-5.85336,-3.62863,-0.125741,1
-5.48664,-3.68169,-0.184331,1
-6.98726,-3.65374,-0.283614,1
-6.39839,-3.64835,-0.333561,1
-5.90317,-3.65581,-0.38176,1
-5.43882,-3.64698,-0.422661,1
-7.40275,-3.85658,0.923297,1
-6.74159,-3.8285,0.780259,1
-8.142,-5.02584,0.873136,1
-6.37174,-3.61729,0.470216,1
-6.05606,-3.73533,0.389091,1
-5.67294,-3.78738,0.30831,1
-6.96425,-3.62149,0.291809,1
-6.39388,-3.62543,0.202742,1
-5.89204,-3.63075,0.125033,1
-5.49178,-3.6656,0.0572756,1
-6.93577,-3.60345,0.00532018,1
-6.38899,-3.62089,-0.0658821,1
-5.96833,-3.67461,-0.127968,1
-5.49625,-3.66373,-0.184276,1
-6.99223,-3.62906,-0.283363,1
-6.43998,-3.64593,-0.335145,1
-5.99516,-3.68737,-0.386975,1
-5.44832,-3.62917,-0.422532,1
-7.35363,-3.80235,0.915711,1
-8.22191,-5.0404,0.880042,1
-7.19723,-4.7786,0.706473,1
-6.37324,-3.59233,0.469511,1
-6.05472,-3.7089,0.388272,1
-5.67038,-3.76057,0.307542,1
-7.00463,-3.61523,0.293035,1
-6.43024,-3.62002,0.203542,1
-5.90997,-3.61683,0.125178,1
-5.493,-3.64211,0.0571715,1
-6.97968,-3.59911,0.00534537,1
-6.41227,-3.60814,-0.0660077,1
-6.0282,-3.68601,-0.129009,1
-5.5008,-3.64244,-0.184053,1
-7.07885,-3.6465,-0.286418,1
-6.4851,-3.64525,-0.336909,1
